排名	IP地址	地区码	地区	延迟(ms)	下载速度(MB/s)	端口	测速类型
1	2606:4700:5a:c03f:a49d:cdb0:33ec:2339	NRT	东京	63.62	24.54	443	地区测速
2	2606:4700:5a:ffb4:27d6:62c:fc24:8877	NRT	东京	76.56	24.01	443	地区测速
3	2606:4700:5a:1b46:c1bf:358b:c601:9e64	NRT	东京	63.54	23.78	443	地区测速
4	2606:4700:52:3ac1:b444:d413:daa5:e0d6	NRT	东京	62.63	23.65	443	地区测速
5	2606:4700:5a:6601:ebb7:9ce8:96e4:ca1	NRT	东京	79.03	23.48	443	地区测速
6	2606:4700:5a:d4db:576d:2e2e:3359:7665	NRT	东京	76.53	23.42	443	地区测速
7	2606:4700:5a:c44:2f9b:234c:6f7:190f	NRT	东京	71.92	22.96	443	地区测速
8	2606:4700:5a:8dbf:253b:a9cc:39ef:4bd7	NRT	东京	73.03	22.87	443	地区测速
9	2606:4700:5a:e865:5794:1d0:57d0:a088	NRT	东京	65.64	22.76	443	地区测速
10	2606:4700:5a:b364:8d83:8374:9316:5b9e	NRT	东京	76.25	22.69	443	地区测速
11	2606:4700:52:139a:19fb:dad6:761b:5d47	NRT	东京	63.48	22.61	443	地区测速
12	2606:4700:5a:f0c8:51e0:592c:1182:eb18	NRT	东京	74.62	22.52	443	地区测速
13	2606:4700:5a:9eb1:f673:f08c:f29c:92f4	NRT	东京	72.51	22.19	443	地区测速
14	2606:4700:5a:9946:6ae2:5fd2:c1d6:afa6	NRT	东京	72.65	21.75	443	地区测速
15	2606:4700:5a:2730:506b:5513:1ceb:e950	NRT	东京	72.12	21.64	443	地区测速
16	2606:4700:5a:9fac:b8b6:c332:da8a:ced5	NRT	东京	67.52	21.16	443	地区测速
17	2606:4700:5a:c5c0:fd33:6431:7a3b:2425	NRT	东京	75.14	20.8	443	地区测速
18	2606:4700:5a:4ec7:66b6:a2b3:fffb:6f4f	NRT	东京	67.7	20.33	443	地区测速
19	2606:4700:5a:131b:6b55:9804:9faf:a637	NRT	东京	50.44	20.01	443	地区测速
20	2606:4700:5a:2b70:90c:5b3e:faef:524a	NRT	东京	78.76	17.39	443	地区测速
